iteration,isolation,burst_threads,accepted,check_exclusion_ok,check_audit_ok,check_exclusion_detail,check_audit_detail
308,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
309,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
310,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
311,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
312,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
313,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
314,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
315,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
316,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
317,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
318,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
319,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
320,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
321,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
322,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
323,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
324,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
325,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
326,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
327,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
328,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
329,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
330,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
331,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
332,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
333,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
334,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
335,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
336,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
337,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
338,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
339,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
340,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
341,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
342,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
343,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
344,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
345,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
346,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
347,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
348,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
349,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
350,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
351,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
352,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
353,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
354,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
355,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
356,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
357,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
358,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
359,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
360,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
361,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
362,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
363,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
364,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
365,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
366,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
367,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
368,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
369,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
370,SERIALIZABLE,8,1,1,1,,fact=1 audit=0 accepted=1
