iteration,isolation,burst_threads,accepted,check_exclusion_ok,check_audit_ok,check_exclusion_detail,check_audit_detail
186,READ COMMITTED,8,8,0,1,entity_id=34000186 attribute='s4_slot' has 6 live rows; expected <= 1,fact=8 audit=9 accepted=8
187,READ COMMITTED,8,8,0,1,entity_id=34000187 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
188,READ COMMITTED,8,8,0,1,entity_id=34000188 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
189,READ COMMITTED,8,8,0,1,entity_id=34000189 attribute='s4_slot' has 3 live rows; expected <= 1,fact=8 audit=7 accepted=8
190,READ COMMITTED,8,8,0,1,entity_id=34000190 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
191,READ COMMITTED,8,8,0,1,entity_id=34000191 attribute='s4_slot' has 6 live rows; expected <= 1,fact=8 audit=6 accepted=8
192,READ COMMITTED,8,8,0,1,entity_id=34000192 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=2 accepted=8
193,READ COMMITTED,8,8,0,1,entity_id=34000193 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
194,READ COMMITTED,8,8,0,1,entity_id=34000194 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
195,READ COMMITTED,8,8,0,1,entity_id=34000195 attribute='s4_slot' has 7 live rows; expected <= 1,fact=8 audit=2 accepted=8
196,READ COMMITTED,8,8,0,1,entity_id=34000196 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
197,READ COMMITTED,8,8,0,1,entity_id=34000197 attribute='s4_slot' has 8 live rows; expected <= 1,fact=8 audit=0 accepted=8
